,TTA,Cabang/Site,Umur,Level,Dev,JI,JNI,JobRotation
192,JKT,Cabang,Produktif2,Senior,Underload,Normal,Overload,yes
193,JKT,Cabang,Produktif2,Senior,Underload,Overload,Overload,yes
194,UPG,Cabang,Produktif2,Senior,Normal,Normal,Overload,no
195,UPG,Cabang,Produktif2,Senior,Overload,Overload,Overload,yes
196,UPG,Cabang,Produktif2,Senior,Normal,Overload,Overload,yes
197,JKT,Cabang,Produktif2,Senior,Underload,Normal,Overload,no
198,JKT,Cabang,Produktif2,Senior,Normal,Normal,Overload,yes
199,JKT,Cabang,Produktif2,Senior,Normal,Overload,Overload,yes
200,JKT,Cabang,Produktif2,Senior,Underload,Normal,Overload,no
201,JKT,Cabang,Produktif2,Senior,Normal,Normal,Overload,yes
202,JKT,Cabang,Produktif2,Senior,Normal,Normal,Overload,yes
203,JKT,Cabang,Produktif1,Junior,Underload,Normal,Overload,no
204,JKT,Cabang,Produktif1,Senior,Underload,Normal,Overload,yes
205,JKT,Cabang,Produktif1,Junior,Underload,Normal,Overload,no
206,JKT,Cabang,Produktif1,Junior,Normal,Normal,Overload,yes
207,JKT,Cabang,Produktif1,Senior,Normal,Overload,Overload,yes
208,TJE,Site,Produktif2,Junior,Normal,Overload,Overload,yes
209,TJE,Site,Produktif2,Senior,Normal,Overload,Overload,yes
210,TJE,Site,Produktif2,Senior,Underload,Overload,Overload,yes
211,BNT,Site,Produktif2,Senior,Normal,Normal,Overload,no
212,BNT,Site,Produktif2,Senior,Normal,Normal,Overload,yes
213,BNT,Site,Produktif2,Senior,Normal,Normal,Normal,no
214,SGT,Site,Produktif2,Junior,Underload,Underload,Underload,yes
215,TJR,Site,Produktif2,Junior,Normal,Normal,Overload,no
216,TJR,Site,Produktif2,Senior,Underload,Overload,Overload,yes
217,TJR,Site,Produktif2,Senior,Normal,Overload,Overload,yes
218,ADR,Site,Produktif2,Senior,Normal,Overload,Overload,yes
219,ADR,Site,Produktif2,Senior,Overload,Overload,Overload,yes
220,ADR,Site,Produktif2,Senior,Normal,Overload,Overload,yes
221,MLW,Site,Produktif2,Senior,Underload,Normal,Normal,no
222,MLW,Site,Produktif2,Senior,Normal,Overload,Overload,yes
223,MLW,Site,Produktif2,Senior,Normal,Normal,Overload,no
224,SGT,Site,Produktif2,Senior,Normal,Normal,Overload,yes
225,SGT,Site,Produktif2,Senior,Normal,Overload,Overload,yes
226,PKB,Cabang,Produktif2,Junior,Underload,Underload,Underload,yes
227,SGT,Site,Produktif2,Senior,Underload,Normal,Overload,no
228,SGT,Site,Produktif2,Junior,Normal,Overload,Overload,yes
229,SGT,Site,Produktif2,Junior,Underload,Overload,Overload,yes
230,SGT,Site,Produktif2,Junior,Underload,Overload,Overload,yes
231,TJR,Site,Produktif2,Senior,Underload,Normal,Overload,no
232,TJR,Site,Produktif2,Senior,Normal,Overload,Overload,yes
233,TJR,Site,Produktif2,Senior,Normal,Overload,Overload,yes
234,BKJ,Site,Produktif2,Junior,Normal,Normal,Overload,no
235,BKJ,Site,Produktif2,Junior,Normal,Overload,Overload,yes
236,BKJ,Site,Produktif2,Senior,Normal,Overload,Overload,yes
237,BLP,Cabang,Produktif2,Junior,Underload,Normal,Normal,no
238,BLP,Cabang,Produktif2,Junior,Underload,Overload,Normal,yes
239,BLP,Cabang,Produktif2,Senior,Normal,Overload,Normal,no
240,PKB,Cabang,Produktif2,Senior,Underload,Overload,Normal,yes
241,PKB,Cabang,Produktif2,Senior,Underload,Overload,Overload,yes
242,PKB,Cabang,Produktif2,Senior,Underload,Overload,Overload,yes
243,PKB,Cabang,Produktif2,Senior,Underload,Overload,Normal,yes
244,PKB,Cabang,Produktif2,Senior,Underload,Overload,Overload,yes
245,PKB,Cabang,Produktif2,Senior,Underload,Overload,Normal,yes
246,JKT,Cabang,Produktif2,Senior,Underload,Underload,Overload,yes
247,JKT,Cabang,Produktif2,Senior,Underload,Normal,Overload,no
248,JKT,Cabang,Produktif2,Senior,Underload,Normal,Overload,no
249,JKT,Cabang,Produktif2,Senior,Underload,Underload,Overload,no
250,JKT,Cabang,Produktif2,Senior,Underload,Normal,Overload,yes
251,JKT,Cabang,Produktif2,Senior,Underload,Overload,Overload,yes
252,JKT,Cabang,Produktif1,Junior,Underload,Normal,Overload,no
253,JKT,Cabang,Produktif1,Junior,Underload,Normal,Overload,yes
254,JKT,Cabang,Produktif2,Junior,Overload,Overload,Overload,yes
255,JKT,Cabang,Produktif1,Senior,Underload,Underload,Overload,no
256,JKT,Cabang,Produktif2,Senior,Normal,Normal,Overload,no
257,JKT,Cabang,Produktif2,Senior,Overload,Overload,Overload,yes
258,MLW,Site,Produktif1,Junior,Overload,Normal,Underload,no
259,MLW,Site,Produktif1,Senior,Overload,Normal,Normal,yes
260,MLW,Site,Produktif2,Senior,Normal,Normal,Overload,no
261,BNT,Site,Produktif1,Junior,Normal,Normal,Overload,no
262,BNT,Site,Produktif1,Junior,Normal,Normal,Overload,yes
263,BNT,Site,Produktif2,Junior,Normal,Normal,Overload,no
